title,slug,url,price_usd,price_kgs,Год выпуска,Тип кузова,Объем двигателя,Коробка передач,Пробег,Руль,Город,От (цена в кредит)
Land Rover Range Rover V,land-rover-range-rover-6a01f18aaa5d5857686571,https://www.mashina.kg/details/land-rover-range-rover-6a01f18aaa5d5857686571,128000,11193600,2022.0,,4.4,автомат,120000 km,слева,Бишкек,В кредит от 121 589 ⃀
Kia Morning III,kia-morning-6a01c32e097bc480878228,https://www.mashina.kg/details/kia-morning-6a01c32e097bc480878228,7700,673365,2018.0,,1.0,автомат,106579 km,слева,с. Булан-Соготту,В кредит от 17 099 ⃀
BMW X5 IV (G05/G18),bmw-x5-6a01693e77eb6923617773,https://www.mashina.kg/details/bmw-x5-6a01693e77eb6923617773,35000,3060750,2019.0,,3.0,автомат,50000 km,слева,Бишкек,В кредит от 60 794 ⃀
BMW X5 IV (G05/G18),bmw-x5-69e4a569a3140757846041,https://www.mashina.kg/details/bmw-x5-69e4a569a3140757846041,36500,3191925,2019.0,внедорожник 5 дв.,3.0,автомат,129000 km,Слева,Бишкек,В кредит от 60 794 ⃀
BMW 1 серии III (F52) Рестайлинг,bmw-1-serii-693a3226174b4212481152,https://www.mashina.kg/details/bmw-1-serii-693a3226174b4212481152,22600,1976370,2021.0,,1.5,робот,23000 km,слева,Китай,В кредит от 44 206 ⃀
Toyota Camry VIII (XV70) Рестайлинг,toyota-camry-69f75edca2e20518657316,https://www.mashina.kg/details/toyota-camry-69f75edca2e20518657316,20800,1818960,2020.0,,2.5,автомат,78000 km,слева,Бишкек,В кредит от 40 685 ⃀
Kia Sportage V,kia-sportage-69f2d5d172802950327792,https://www.mashina.kg/details/kia-sportage-69f2d5d172802950327792,21500,1880175,2022.0,,2.0,автомат,110000 km,слева,Бишкек,В кредит от 42 054 ⃀
Mercedes-Benz S-Класс V (W221) Рестайлинг,mercedesbenz-sklass-68e26b7c2c51d646469737,https://www.mashina.kg/details/mercedesbenz-sklass-68e26b7c2c51d646469737,22000,1923900,2011.0,,4.7,автомат,110000 km,слева,Бишкек,В кредит от 43 032 ⃀
Kia K3 II,kia-k3-69ccf06b7cd10588895689,https://www.mashina.kg/details/kia-k3-69ccf06b7cd10588895689,11500,1005675,2020.0,седан,1.6,вариатор,91300 km,Слева,Бишкек,В кредит от 25 537 ⃀
Lexus GX I,lexus-gx-69ba3e1f03077197753993,https://www.mashina.kg/details/lexus-gx-69ba3e1f03077197753993,19500,1705275,2004.0,внедорожник 5 дв.,4.7,автомат,200000 km,Слева,Бишкек,В кредит от 38 142 ⃀
Chevrolet Spark IV Рестайлинг,chevrolet-spark-69cb5ebad3b49131171751,https://www.mashina.kg/details/chevrolet-spark-69cb5ebad3b49131171751,7200,629640,2019.0,,1.0,вариатор,109000 km,слева,Бишкек,В кредит от 15 988 ⃀
Продажа Kia Seltos I Рестайлинг 2026,kia-seltos-6a06bce1fceadec431111e49,https://www.mashina.kg/details/kia-seltos-6a06bce1fceadec431111e49,14500,1268025,2026.0,внедорожник 5 дв.,1.6,автомат,1 км,Слева,Китай,В кредит от 29 823 ⃀
Продажа Kia K3 II Рестайлинг 2026,kia-k3-6a06967859e4b087ab5c66c2,https://www.mashina.kg/details/kia-k3-6a06967859e4b087ab5c66c2,14500,1268025,2026.0,седан,1.6,вариатор,10 км,Слева,Китай,В кредит от 29 823 ⃀
Продажа Kia Stonic 2026,kia-stonic-6a06ba60d789417db73e9da5,https://www.mashina.kg/details/kia-stonic-6a06ba60d789417db73e9da5,14500,1268025,2026.0,внедорожник 5 дв.,1.6,автомат,0 км,Слева,Китай,В кредит от 29 823 ⃀
Продажа Kia Sorento IV 2021,kia-sorento-6a035fbdfd492cfb4418f325,https://www.mashina.kg/details/kia-sorento-6a035fbdfd492cfb4418f325,19500,1705275,2021.0,внедорожник 5 дв.,2.2,робот,153000 km,Слева,Бишкек,В кредит от 38 142 ⃀
Продажа Kia K5 III Рестайлинг 2026,kia-k5-6a0697cab0f5e6ac0c39c41b,https://www.mashina.kg/details/kia-k5-6a0697cab0f5e6ac0c39c41b,14500,1268025,2026.0,седан,1.6,автомат,1 км,Слева,Китай,В кредит от 29 823 ⃀
Toyota Avalon V,toyota-avalon-69fef3a78dd99324631216,https://www.mashina.kg/details/toyota-avalon-69fef3a78dd99324631216,24500,2142525,2026.0,,2.0,вариатор,10 km,слева,Китай,В кредит от 47 922 ⃀
Продажа Kia Sportage IV Рестайлинг 2020,kia-sportage-6a073615d3960e075d139100,https://www.mashina.kg/details/kia-sportage-6a073615d3960e075d139100,14800,1294260,2020.0,внедорожник 5 дв.,2.0,автомат,74000 km,Слева,Бишкек,В кредит от 29 823 ⃀
BMW 3 серии VII (G2x) Рестайлинг,bmw-3-serii-69fecd32d2c35839371156,https://www.mashina.kg/details/bmw-3-serii-69fecd32d2c35839371156,33000,2885850,2026.0,,2.0,автомат,10 km,слева,Китай,В кредит от 60 794 ⃀
Продажа Kia Sportage IV Рестайлинг 2019,kia-sportage-6a073b968cc7c3fe2260afd5,https://www.mashina.kg/details/kia-sportage-6a073b968cc7c3fe2260afd5,15800,1381710,2019.0,внедорожник 5 дв.,2.0,автомат,207000 km,Слева,Бишкек,В кредит от 30 905 ⃀
BAIC BJ30 II,baic-bj30-69fec9d301c86215951168,https://www.mashina.kg/details/baic-bj30-69fec9d301c86215951168,14400,1259280,2026.0,,1.5,робот,10 km,слева,Канада,В кредит от 29 823 ⃀
BAIC BJ40 I Рестайлинг,baic-bj40-69fec8c8a8186987327176,https://www.mashina.kg/details/baic-bj40-69fec8c8a8186987327176,20800,1818960,2026.0,,2.0,автомат,10 km,слева,Канада,В кредит от 40 685 ⃀
Продажа Kia Niro I Рестайлинг 2020,kia-niro-6a0584db4e4d870c188808a4,https://www.mashina.kg/details/kia-niro-6a0584db4e4d870c188808a4,13300,1163085,2020.0,внедорожник 5 дв.,,автомат,151237 km,Слева,Кара-Суу,В кредит от 29 534 ⃀
Продажа Kia Sorento IV 2020,kia-sorento-6a073e991449191a06e9aef7,https://www.mashina.kg/details/kia-sorento-6a073e991449191a06e9aef7,19800,1731510,2020.0,внедорожник 5 дв.,2.2,робот,188000 km,Слева,Бишкек,В кредит от 38 729 ⃀
Продажа Kia Sorento IV 2021,kia-sorento-6a0410dfa81d470cb8d69618,https://www.mashina.kg/details/kia-sorento-6a0410dfa81d470cb8d69618,19500,1705275,2021.0,внедорожник 5 дв.,2.2,робот,153000 km,Слева,Бишкек,В кредит от 38 142 ⃀
Audi A6 V (C8) Рестайлинг,audi-a6-69feac96bcf98290615347,https://www.mashina.kg/details/audi-a6-69feac96bcf98290615347,46000,4022700,2026.0,,2.0,робот,10 km,слева,Китай,В кредит от 68 476 ⃀
Audi A5 II (F5) Рестайлинг,audi-a5-69feab57d3be8993857654,https://www.mashina.kg/details/audi-a5-69feab57d3be8993857654,45800,4005210,2026.0,,2.0,робот,10 km,слева,Китай,В кредит от 68 178 ⃀
Volkswagen Passat B6,volkswagen-passat-69c3ef3d9b75c999607596,https://www.mashina.kg/details/volkswagen-passat-69c3ef3d9b75c999607596,6061,530000,2008.0,универсал,2.0,автомат,287000 km,Слева,Бишкек,В кредит от 13 458 ⃀
Toyota RAV4 V (XA50),toyota-rav4-69c7ecd3360d9913719821,https://www.mashina.kg/details/toyota-rav4-69c7ecd3360d9913719821,26700,2334915,2021.0,,2.5,вариатор,92000 km,слева,Бишкек,В кредит от 52 226 ⃀
Продажа Toyota Corolla XII (E210) 2026,toyota-corolla-6a0523a9cbadd771c4ae23be,https://www.mashina.kg/details/toyota-corolla-6a0523a9cbadd771c4ae23be,13500,1180575,2026.0,седан,1.2,вариатор,1 км,Слева,Китай,В кредит от 29 978 ⃀
Audi A4 V (B9) Рестайлинг,audi-a4-69fea72b2d22f672345355,https://www.mashina.kg/details/audi-a4-69fea72b2d22f672345355,27800,2431110,2026.0,,2.0,робот,10 km,слева,Китай,В кредит от 54 377 ⃀
Aito M9,aito-m9-69fea4a9c0eef620591978,https://www.mashina.kg/details/aito-m9-69fea4a9c0eef620591978,74000,6471300,2026.0,,1.5,автомат,10 km,слева,Китай,В кредит от 110 157 ⃀
Продажа Toyota Camry IX (XV80) China Market 2026,toyota-camry-6a051ff7baa6da95d12d98d7,https://www.mashina.kg/details/toyota-camry-6a051ff7baa6da95d12d98d7,32500,2842125,2026.0,седан,2.0,вариатор,1 км,Слева,Китай,В кредит от 60 794 ⃀
Продажа Kia Sportage V Рестайлинг 2026,kia-sportage-6a06b32d935da551cdd059d7,https://www.mashina.kg/details/kia-sportage-6a06b32d935da551cdd059d7,35000,3060750,2026.0,внедорожник 5 дв.,1.6,автомат,10 км,Слева,Китай,В кредит от 60 794 ⃀
Продажа Hyundai Tucson IV Рестайлинг 2026,hyundai-tucson-6a069038890d204679215921,https://www.mashina.kg/details/hyundai-tucson-6a069038890d204679215921,15500,1355475,2026.0,внедорожник 5 дв.,2.0,автомат,10 км,Слева,Китай,В кредит от 30 318 ⃀
Продажа Hyundai IONIQ 5 N 2026,hyundai-ioniq-5-n-6a0692893cbd822ca0f3cb5b,https://www.mashina.kg/details/hyundai-ioniq-5-n-6a0692893cbd822ca0f3cb5b,530000,46348500,2026.0,внедорожник 5 дв.,,автомат,10 км,Слева,Китай,В кредит от 121 589 ⃀
Продажа Hyundai Sonata VIII (DN8) Рестайлинг 2026,hyundai-sonata-6a068d1112c2c44ca75a6425,https://www.mashina.kg/details/hyundai-sonata-6a068d1112c2c44ca75a6425,16000,1399200,2026.0,седан,1.5,автомат,1 км,Слева,Китай,В кредит от 31 296 ⃀
Продажа Hyundai Santa Fe V (MX5) 2026,hyundai-santa-fe-6a0689473ed7f7d570419efb,https://www.mashina.kg/details/hyundai-santa-fe-6a0689473ed7f7d570419efb,34000,2973300,2026.0,внедорожник 5 дв.,1.6,автомат,1 км,Слева,Китай,В кредит от 60 794 ⃀
Продажа Hyundai Palisade II 2026,hyundai-palisade-6a06877f9451bed63131773c,https://www.mashina.kg/details/hyundai-palisade-6a06877f9451bed63131773c,50000,4372500,2026.0,внедорожник 5 дв.,2.5,автомат,1 км,Слева,Китай,В кредит от 74 430 ⃀
Продажа Hyundai Elantra VII (CN7) Рестайлинг 2026,hyundai-elantra-6a0685ab41b6189695bb4192,https://www.mashina.kg/details/hyundai-elantra-6a0685ab41b6189695bb4192,9000,787050,2026.0,седан,1.6,автомат,1 км,Слева,Китай,В кредит от 19 985 ⃀
Продажа Honda Odyssey V Рестайлинг 2 2026,honda-odyssey-6a0682add589c95ae7d74992,https://www.mashina.kg/details/honda-odyssey-6a0682add589c95ae7d74992,25500,2229975,2026.0,минивэн,2.4,вариатор,1 км,Слева,Китай,В кредит от 49 878 ⃀
Продажа Honda Inspire VII 2026,honda-inspire-6a06813dadba279bac503365,https://www.mashina.kg/details/honda-inspire-6a06813dadba279bac503365,17500,1530375,2026.0,седан,1.5,вариатор,1 км,Слева,Китай,В кредит от 34 230 ⃀
Продажа Honda HR-V III Рестайлинг 2026,honda-hr-v-6a067f40ab8c7777f1d42d89,https://www.mashina.kg/details/honda-hr-v-6a067f40ab8c7777f1d42d89,15500,1355475,2026.0,внедорожник 5 дв.,1.5,вариатор,1 км,Слева,Китай,В кредит от 30 318 ⃀
Продажа Honda CR-V V Рестайлинг 2026,honda-cr-v-6a067d90be30c89f2b3d7c30,https://www.mashina.kg/details/honda-cr-v-6a067d90be30c89f2b3d7c30,25000,2186250,2026.0,внедорожник 5 дв.,1.5,вариатор,1 км,Слева,Китай,В кредит от 48 900 ⃀
Продажа Mercedes-Benz C-Класс V (W206) 2026,mercedes-benz-c-klass-6a0a71664ad07bf5c669cd85,https://www.mashina.kg/details/mercedes-benz-c-klass-6a0a71664ad07bf5c669cd85,33400,2920830,2026.0,седан,1.5,автомат,1 км,Слева,Китай,В кредит от 60 794 ⃀
"Продажа Mercedes-Benz E-Класс VI (W214, S214) 2026",mercedes-benz-e-klass-6a0a705481ad4ccdc2aae8bc,https://www.mashina.kg/details/mercedes-benz-e-klass-6a0a705481ad4ccdc2aae8bc,45000,3935250,2026.0,седан,1.5,автомат,1 км,Слева,Китай,В кредит от 66 987 ⃀
Продажа Mazda CX-30 I 2026,mazda-cx-30-6a0a6e65d864cddd07aa7fe8,https://www.mashina.kg/details/mazda-cx-30-6a0a6e65d864cddd07aa7fe8,17000,1486650,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 33 252 ⃀
Продажа Mazda EZ-6 2026,mazda-ez-6-6a0a6d37857d6d22f8fec201,https://www.mashina.kg/details/mazda-ez-6-6a0a6d37857d6d22f8fec201,20000,1749000,2026.0,лифтбек,1.5,автомат,1 км,Слева,Китай,В кредит от 39 120 ⃀
Продажа Mazda CX-50 2026,mazda-cx-50-6a0a6c37ea2c7c886140170c,https://www.mashina.kg/details/mazda-cx-50-6a0a6c37ea2c7c886140170c,18500,1617825,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 36 186 ⃀
Продажа Mazda EZ-60 2026,mazda-ez-60-6a0a6abe4205063728821709,https://www.mashina.kg/details/mazda-ez-60-6a0a6abe4205063728821709,14500,1268025,2026.0,внедорожник 5 дв.,1.5,автомат,1 км,Слева,Китай,В кредит от 29 823 ⃀
Hyundai Sonata VII (LF),hyundai-sonata-69ff09fd81ec2949832635,https://www.mashina.kg/details/hyundai-sonata-69ff09fd81ec2949832635,7490,655000,2016.0,,2.0,автомат,278268 km,слева,Бишкек,В кредит от 16 632 ⃀
Продажа Mazda CX-5 II Рестайлинг 2026,mazda-cx-5-6a0a699921dba51590353d55,https://www.mashina.kg/details/mazda-cx-5-6a0a699921dba51590353d55,17500,1530375,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 34 230 ⃀
Продажа Mazda 3 IV (BP) 2026,mazda-3-6a0a68651998db1ba5bd6c1f,https://www.mashina.kg/details/mazda-3-6a0a68651998db1ba5bd6c1f,15500,1355475,2026.0,седан,1.5,автомат,1 км,Слева,Китай,В кредит от 30 318 ⃀
Продажа Honda Accord X Рестайлинг 2026,honda-accord-6a067c1d8b101a8249d1a87e,https://www.mashina.kg/details/honda-accord-6a067c1d8b101a8249d1a87e,23000,2011350,2026.0,седан,2.0,автомат,1 км,Слева,Китай,В кредит от 44 988 ⃀
Продажа Chevrolet Tahoe V Рестайлинг 2025,chevrolet-tahoe-6a067a397fa2c2fc57a612b8,https://www.mashina.kg/details/chevrolet-tahoe-6a067a397fa2c2fc57a612b8,90000,7870500,2025.0,внедорожник 5 дв.,5.3,автомат,10 км,Слева,Китай,В кредит от 121 589 ⃀
Продажа Mercedes-Benz EQS 2026,mercedes-benz-eqs-6a0a87b7f30bb8aca64a334f,https://www.mashina.kg/details/mercedes-benz-eqs-6a0a87b7f30bb8aca64a334f,114500,10013025,2026.0,лифтбек,,автомат,1 км,Слева,Китай,В кредит от 121 589 ⃀
Hyundai Accent V Рестайлинг,hyundai-accent-69e2edb493088085474003,https://www.mashina.kg/details/hyundai-accent-69e2edb493088085474003,13800,1206810,2022.0,седан,1.6,автомат,42000 km,Слева,Бишкек,В кредит от 29 823 ⃀
Geely Coolray I,geely-coolray-69f88089bfaee281232966,https://www.mashina.kg/details/geely-coolray-69f88089bfaee281232966,10500,918225,2023.0,,1.5,робот,210000 km,слева,Бишкек,В кредит от 23 316 ⃀
Продажа Mercedes-Benz EQE 2026,mercedes-benz-eqe-6a0a86e94868ea2642870230,https://www.mashina.kg/details/mercedes-benz-eqe-6a0a86e94868ea2642870230,74500,6515025,2026.0,седан,,автомат,1 км,Слева,Китай,В кредит от 110 901 ⃀
Продажа Mercedes-Benz EQB I Рестайлинг 2026,mercedes-benz-eqb-6a0a8490d3c6be34e527f78c,https://www.mashina.kg/details/mercedes-benz-eqb-6a0a8490d3c6be34e527f78c,51000,4459950,2026.0,внедорожник 5 дв.,,автомат,1 км,Слева,Китай,В кредит от 75 919 ⃀
Продажа Toyota Highlander IV (U70) 2026,toyota-highlander-6a052540667e8a7da03c4d58,https://www.mashina.kg/details/toyota-highlander-6a052540667e8a7da03c4d58,45000,3935250,2026.0,внедорожник 5 дв.,2.5,автомат,0 км,Слева,Китай,В кредит от 66 987 ⃀
Toyota Harrier IV (XU80),toyota-harrier-69ff006fe9876867665257,https://www.mashina.kg/details/toyota-harrier-69ff006fe9876867665257,38000,3323100,2026.0,,2.0,вариатор,10 km,слева,Китай,В кредит от 60 794 ⃀
BYD Yuan Plus,byd-yuan-plus-6a0196994b671956493827,https://www.mashina.kg/details/byd-yuan-plus-6a0196994b671956493827,14500,1268025,2025.0,внедорожник 5 дв.,,автомат,20 km,Слева,Китай,В кредит от 29 823 ⃀
Продажа BMW X5 IV (G05/G18) Рестайлинг 2026,bmw-x5-6a058a9b60a6bbcda1c1b853,https://www.mashina.kg/details/bmw-x5-6a058a9b60a6bbcda1c1b853,90000,7870500,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 121 589 ⃀
Opel Omega B,opel-omega-68db6408e5faf923510604,https://www.mashina.kg/details/opel-omega-68db6408e5faf923510604,3500,306075,1996.0,,2.0,механика,200000 km,слева,Кант,В кредит от 7 772 ⃀
Продажа BMW X7 I (G07) Рестайлинг 2026,bmw-x7-6a059358fe5e9e5cd45b61de,https://www.mashina.kg/details/bmw-x7-6a059358fe5e9e5cd45b61de,115000,10056750,2026.0,внедорожник 5 дв.,3.0,автомат,1 км,Слева,Китай,В кредит от 121 589 ⃀
Продажа BMW X6 III (G06) Рестайлинг 2026,bmw-x6-6a058c8f358b0cdcb18e6b31,https://www.mashina.kg/details/bmw-x6-6a058c8f358b0cdcb18e6b31,76000,6646200,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 113 134 ⃀
Lexus RX III Рестайлинг,lexus-rx-696b776c7280e064524899,https://www.mashina.kg/details/lexus-rx-696b776c7280e064524899,24000,2098800,2014.0,,3.5,вариатор,295314 km,слева,Бишкек,В кредит от 46 944 ⃀
Продажа Changan X7 Plus 2026,changan-x7-plus-6a0582c44a7693ba1595d3a0,https://www.mashina.kg/details/changan-x7-plus-6a0582c44a7693ba1595d3a0,19000,1661550,2026.0,внедорожник 5 дв.,1.5,механика,20 км,Слева,Китай,В кредит от 37 164 ⃀
Продажа BMW X3 IV (G45/G48) 2026,bmw-x3-6a057cb30aa71306e5ca47c9,https://www.mashina.kg/details/bmw-x3-6a057cb30aa71306e5ca47c9,66000,5771700,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 98 248 ⃀
BMW 5 серии VII (G30/G31) Рестайлинг,bmw-5-serii-695361031f3c9973667719,https://www.mashina.kg/details/bmw-5-serii-695361031f3c9973667719,49900,4363755,2021.0,,2.0,автомат,55000 km,слева,Ош,В кредит от 74 281 ⃀
Toyota Camry IX (XV80),toyota-camry-69fef9f4aab9f797796960,https://www.mashina.kg/details/toyota-camry-69fef9f4aab9f797796960,24000,2098800,2026.0,,2.5,автомат,10 km,слева,Китай,В кредит от 46 944 ⃀
Toyota Alphard IV,toyota-alphard-69fefb27df70d440287089,https://www.mashina.kg/details/toyota-alphard-69fefb27df70d440287089,68000,5946600,2026.0,,2.5,вариатор,10 km,слева,Китай,В кредит от 101 225 ⃀
Продажа Mercedes-Benz EQA I Рестайлинг 2026,mercedes-benz-eqa-6a0a8576faa4c789d073aa55,https://www.mashina.kg/details/mercedes-benz-eqa-6a0a8576faa4c789d073aa55,48000,4197600,2026.0,внедорожник 5 дв.,,автомат,1 км,Слева,Китай,В кредит от 71 453 ⃀
Продажа Mercedes-Benz Maybach S-Класс II (Z223) 2026,mercedes-benz-maybach-s-klass-6a0a7aaea31bd6d93ab51d9e,https://www.mashina.kg/details/mercedes-benz-maybach-s-klass-6a0a7aaea31bd6d93ab51d9e,179500,15697275,2026.0,седан,3.0,автомат,1 км,Слева,Китай,В кредит от 121 589 ⃀
Продажа Mercedes-Benz S-Класс VII (W223) 2026,mercedes-benz-s-klass-6a0a78dd38dc64723beb4c8e,https://www.mashina.kg/details/mercedes-benz-s-klass-6a0a78dd38dc64723beb4c8e,132000,11543400,2026.0,седан,2.5,автомат,1 км,Слева,Китай,В кредит от 121 589 ⃀
Subaru Crosstrek II Рестайлинг,subaru-crosstrek-69bb871cc92c6720608883,https://www.mashina.kg/details/subaru-crosstrek-69bb871cc92c6720608883,14200,1241790,2021.0,,2.0,вариатор,49000 km,слева,Бишкек,В кредит от 29 823 ⃀
Продажа Mercedes-Benz GLC II (X254) 2026,mercedes-benz-glc-6a0a75c821f4d3f544df3a4a,https://www.mashina.kg/details/mercedes-benz-glc-6a0a75c821f4d3f544df3a4a,65000,5684250,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 96 760 ⃀
Продажа Mercedes-Benz GLB I (X247) Рестайлинг 2026,mercedes-benz-glb-6a0a747254dec2f41cf64696,https://www.mashina.kg/details/mercedes-benz-glb-6a0a747254dec2f41cf64696,45000,3935250,2026.0,внедорожник 5 дв.,1.3,робот,1 км,Слева,Китай,В кредит от 66 987 ⃀
Subaru Outback V Рестайлинг,subaru-outback-69ef9abab1662118707806,https://www.mashina.kg/details/subaru-outback-69ef9abab1662118707806,14900,1303005,2019.0,,2.5,вариатор,48000 km,слева,Бишкек,В кредит от 29 823 ⃀
Subaru Outback V Рестайлинг,subaru-outback-69ff197a14b96764501958,https://www.mashina.kg/details/subaru-outback-69ff197a14b96764501958,14200,1241790,2018.0,,2.5,вариатор,160000 km,слева,Бишкек,В кредит от 29 823 ⃀
BMW 5 серии VII (G30/G31) Рестайлинг,bmw-5-serii-69ee1097ac0a6716807922,https://www.mashina.kg/details/bmw-5-serii-69ee1097ac0a6716807922,29000,2536050,2021.0,седан,2.0,автомат,67000 км,Слева,Бишкек,В кредит от 55 504 ⃀
Продажа Mercedes-Benz CLS III (C257) Рестайлинг 2026,mercedes-benz-cls-6a0a737dafa32ce9d91ca0f5,https://www.mashina.kg/details/mercedes-benz-cls-6a0a737dafa32ce9d91ca0f5,117500,10275375,2026.0,седан,3.0,автомат,1 км,Слева,Китай,В кредит от 121 589 ⃀
Продажа Mercedes-Benz A-Класс IV (W177) Рестайлинг 2026,mercedes-benz-a-klass-6a0a726aebcb087f7bd3e9c0,https://www.mashina.kg/details/mercedes-benz-a-klass-6a0a726aebcb087f7bd3e9c0,29500,2579775,2026.0,седан,1.3,робот,1 км,Слева,Китай,
Продажа SsangYong Rexton IV Рестайлинг 2026,ssangyong-rexton-6a0ab56839a20090535238fc,https://www.mashina.kg/details/ssangyong-rexton-6a0ab56839a20090535238fc,43500,3804075,2026.0,внедорожник 5 дв.,2.2,автомат,1 км,Слева,Китай,В кредит от 64 754 ⃀
Продажа SsangYong Rexton IV Рестайлинг 2026,ssangyong-rexton-6a0ab56839a20090535238fc,https://www.mashina.kg/details/ssangyong-rexton-6a0ab56839a20090535238fc,43500,3804075,2026.0,внедорожник 5 дв.,2.2,автомат,1 км,Слева,Китай,В кредит от 64 754 ⃀
Продажа Nissan Frontier III (D41) 2026,nissan-frontier-6a0ab23ecfe3c2409c0ff8b9,https://www.mashina.kg/details/nissan-frontier-6a0ab23ecfe3c2409c0ff8b9,28000,2448600,2026.0,пикап полуторная кабина,3.8,автомат,1 км,Слева,Китай,В кредит от 54 769 ⃀
Продажа Nissan Navara (Frontier) Nissan Navara (Frontier) IV (D23) 2026,nissan-navara-frontier-6a0aac54a28e1b142a0f4bbd,https://www.mashina.kg/details/nissan-navara-frontier-6a0aac54a28e1b142a0f4bbd,26000,2273700,2026.0,пикап двойная кабина,2.5,автомат,1 км,Слева,Китай,В кредит от 50 857 ⃀
Продажа Nissan Kicks I Рестайлинг 2026,nissan-kicks-6a0aaafed176f57e24a0bd1f,https://www.mashina.kg/details/nissan-kicks-6a0aaafed176f57e24a0bd1f,13300,1163085,2026.0,внедорожник 5 дв.,1.5,вариатор,1 км,Слева,Китай,В кредит от 29 534 ⃀
Продажа Nissan Tiida II (China Market) 2026,nissan-tiida-6a0aa98b427613ae6529cf6f,https://www.mashina.kg/details/nissan-tiida-6a0aa98b427613ae6529cf6f,13400,1171830,2026.0,хэтчбек 5 дв.,1.6,вариатор,1 км,Слева,Китай,В кредит от 29 756 ⃀
Продажа Nissan Qashqai II Рестайлинг 2 2026,nissan-qashqai-6a0aa7eb3e549351660dc7a4,https://www.mashina.kg/details/nissan-qashqai-6a0aa7eb3e549351660dc7a4,13500,1180575,2026.0,внедорожник 5 дв.,2.0,вариатор,1 км,Слева,Китай,В кредит от 29 978 ⃀
Cadillac Escalade IV,cadillac-escalade-69cf5195a44f8520785529,https://www.mashina.kg/details/cadillac-escalade-69cf5195a44f8520785529,40500,3541725,2015.0,,6.2,автомат,150000 km,слева,Бишкек,В кредит от 60 794 ⃀
Продажа Nissan Pathfinder V (China Market) 2026,nissan-pathfinder-6a0aa62e19382f94222985a0,https://www.mashina.kg/details/nissan-pathfinder-6a0aa62e19382f94222985a0,36000,3148200,2026.0,внедорожник 5 дв.,2.0,автомат,1 км,Слева,Китай,В кредит от 60 794 ⃀
Продажа Nissan Altima VI (L34) Рестайлинг 2026,nissan-altima-6a0a8ac890705b13b41c6a70,https://www.mashina.kg/details/nissan-altima-6a0a8ac890705b13b41c6a70,18500,1617825,2026.0,седан,2.0,вариатор,1 км,Слева,Китай,В кредит от 36 186 ⃀
Продажа Nissan X-Trail IV 2026,nissan-x-trail-6a0a8bb3c48f9c2cc0ec52ef,https://www.mashina.kg/details/nissan-x-trail-6a0a8bb3c48f9c2cc0ec52ef,15500,1355475,2026.0,внедорожник 5 дв.,1.5,вариатор,1 км,Слева,Китай,В кредит от 30 318 ⃀
Land Rover Range Rover IV,land-rover-range-rover-699bed86bef68429399154,https://www.mashina.kg/details/land-rover-range-rover-699bed86bef68429399154,38500,3366825,2016.0,,4.4,автомат,170000 km,слева,Бишкек,В кредит от 60 794 ⃀
Продажа Nissan Sylphy III (China Market) Рестайлинг 2026,nissan-sylphy-6a0a899a28a711d3e3e0e423,https://www.mashina.kg/details/nissan-sylphy-6a0a899a28a711d3e3e0e423,10000,874500,2026.0,седан,1.6,вариатор,1 км,Слева,Китай,В кредит от 22 206 ⃀
Продажа Volkswagen Bora IV (China Market) Рестайлинг 2026,volkswagen-bora-6a0ac390a1cbc2d829584871,https://www.mashina.kg/details/volkswagen-bora-6a0ac390a1cbc2d829584871,10000,874500,2026.0,седан,1.2,механика,1 км,Слева,Китай,В кредит от 22 206 ⃀
Продажа Volkswagen Passat CC II Рестайлинг 2026,volkswagen-passat-cc-6a0ac25c11e4200b7107994f,https://www.mashina.kg/details/volkswagen-passat-cc-6a0ac25c11e4200b7107994f,24800,2168760,2026.0,лифтбек,2.0,робот,1 км,Слева,Китай,
Продажа Volkswagen Sagitar III Рестайлинг 2026,volkswagen-sagitar-6a0ac10387187598dc6b3406,https://www.mashina.kg/details/volkswagen-sagitar-6a0ac10387187598dc6b3406,18400,1609080,2026.0,седан,1.2,механика,1 км,Слева,Китай,В кредит от 35 991 ⃀
Продажа Volkswagen Lavida III Рестайлинг 2026,volkswagen-lavida-6a0abfc96cb66556f3baec1b,https://www.mashina.kg/details/volkswagen-lavida-6a0abfc96cb66556f3baec1b,10800,944460,2026.0,седан,1.5,автомат,1 км,Слева,Китай,В кредит от 23 983 ⃀
Продажа Daewoo Matiz I Рестайлинг 2003,daewoo-matiz-6a073a1b40920ea54b69f56c,https://www.mashina.kg/details/daewoo-matiz-6a073a1b40920ea54b69f56c,2859,250000,2003.0,хэтчбек 5 дв.,0.8,автомат,215858 km,Слева,Ош,В кредит от 6 348 ⃀
